id,organization,specialty,qualification,employee_id,attainment_id
NULL,"Федеральное государственное образовательное учреждение высшего профессионального образования "Санкт-Петербургская академия физической культуры им. П.Ф. Лесгафта"","Физическая культура для лиц с отклонениями в состоянии здоровья, адаптивная физическая культура","Специалист по адаптивной физической культуре",1,1
NULL,"Государственное бюджетное учреждение дополнительного профессионального образования Санкт-Петербургская академия постдипломного педагогического образования г. Санкт-Петербург","Образование и педагогические науки","Иследователь. Преподаватель-исследователь",1,4
NULL,"ФГАОУВПО "Уральский федеральный университет имени первого Президента России Б.Н. Ельцина"",Историко-архивоведение,Историк-архивист,2,1
NULL,"Магнитогорский ордена Знак Почета государственный педагогический институт","Изобразительное искусство и черчение","Учитель изобразительного искусства и черчения",3,1
NULL,"ФГБОУ ВО "Магнитогорский государственный технический университет им. Г.И. Носова"",Информатика,Магистр,4,2
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Магнитогорский государственный университет"",Информатика,"Учитель информатики",4,1
NULL,"Автономная некоммерческая организация высшего образования "Национальный открытый институт г. Санкт-Петербурга"","Государственное и муниципальное управление",Бакалавр,5,3
NULL,"Санкт-Петербургский университет МВД России",Юриспруденция,Юрист,6,1
NULL,"Санкт-Петербургский государственный университет технологии и дизайна","Технология изделий из кожи",Инженер,7,1
NULL,"Государственное автономное образовательное учреждение высшего образования Ленинградской области "Ленинградский государственный университет имени А.С. Пушкина"","Психолого-педагогическое образование",Бакалавр,8,3
NULL,"Ленинградский государственный педагогический институт им. А.И. Герцена","Физическая культура","Учитель физической культуры среднешкольников",9,1
NULL,"Негосударственное образовательное учреждение высшего профессионального образования "Дальневосточный институт менеджмента, бизнеса и права"",Юриспруденция,Юрист,10,1
NULL,"Восточноукраинский национальный университет им. В.И. Даля",Правоведение,Юрист,11,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Ленинградский государственный университет имени А.С.Пушкина"","Педагогика и методика начального образования","Учитель начальных классов",12,1
NULL,"ФГБОУ ВПО "Калмыцкий государственный университет"","Педагогика и методика начального образования","Учитель начальных классов",13,1
NULL,"Государственное автономное профессиональное образовательное учреждение "Педагогический колледж"","Педагогика дополнительного образования в области изобразительной деятельности и декоративно-прикладного искусства","Педагог дополнительного образования в области изобразительной деятельности и декаративно-прикладного искусства",14,5
NULL,"ФГБОУ ВПО "Тверской государственный университет"","Педагогика и методика начального образования","Учитель начальных классов",15,1
NULL,"Красноярский государственный педагогический институт","Педагогика и методика начального образования","Учитель начальных классов",16,1
NULL,"ГОУВПО "Алтайская государственная педагогическая академия"","Педагогика и методика начального образования","Учитель начальных классов",17,1
NULL,"Нерюнгринский филиал Якутского государственного университета им. М.К. Аммосова","Педагогика и методика начального образования","Учитель начальных классов",18,1
NULL,"Государственное бюджетное профессиональное образовательное учреждение РД "Кизлярский профессионально-педагогический колледж"","Преподавание в начальных классах","Учитель начальных классов",19,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Московский государственный университет экономики, статистики и информатики (МЭСИ)"","Менеджмент организации",Менеджер,20,1
NULL,NULL,"Преподавание в начальных классах","Учитель начальных классов",20,5
NULL,"ФГБОУ ВО "Мордовский государственный педагогический институт имени М.Е. Евсевьева"","Педагогическое образование",Магистр,21,2
NULL,"ЧОУВО "Московский университет имени С.Ю. Витте"","Психолого-педагогическое образование",Бакалавр,22,3
NULL,"Поморский государственный университет им. М.В. Ломоносова",,"Учитель начальных классов",23,1
NULL,"ГОУВПО "Армавирский государственный педагогический университет"","Педагогика и методика начального образования с дополнительной специальностью «Социальная педагогика»","Учитель начальных классов и социальный педагог",24,1
NULL,"Гатчинский педагогический колледж имени К.Д. Ушинского","Преподавание в начальных классах","Учитель начальных классов с дополнительной подготовкой в области музыкального воспитания",25,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"","Педагогическое образование",Бакалавр,26,3
NULL,"Государственное образовательное учреждение высшего профессионального образования "Оренбургский государственный университет"","Дошкольная педагогика и психология с дополнительной специальностью иностранный язык","Преподаватель дошкольной педагогики и психологии и учитель английского языка",27,1
NULL,"ФГАОУВО "Нижегородский государственный университет им. Н.И. Лобачевского"","Педагогика и методика начального образования","Учитель начальных классов",28,1
NULL,"Псковский государственный педагогический институт им. С.М.Кирова","Педагогика и методика начального образования","Учитель начальных классов",29,1
NULL,"ГОУ ВПО "Российский государственный педагогический университет им. А.И. Герцена"","Дошкольная педагогика и психология","Преподаватель дошкольной педагогики и психологии, Педагог-психолог для работы с детьми дошкольного возраста",30,1
NULL,"Автономное образовательное учреждение высшего профессионального образования "Ленинградский государственный университет имени А.С. Пушкина"",Логопедия,Учитель-логопед,31,1
NULL,"ФГБОУ ВПО "Российский государственный педагогический университет им. А.И. Герцена"","Педагогическое образование",Бакалавр,32,3
NULL,"ГОУВПО Московский государственный областной университет",Психология,"Психолог, Преподаватель психологии",33,1
NULL,"ГАПОУ Мурманской области "Мурманский педагогический колледж"","Преподавание в начальных классах","Учитель начальных классов",34,5
NULL,"Краевое государственное бюджетное профессиональное образовательное учреждение "Хабаровский педагогический колледж им. Героя Советского Союза Д.Л. Калараша"","Преподавание в начальных классах","Учитель начальных классов, учитель русского языка 5-6 классов",35,5
NULL,"Биробиджанский государственный педагогический университет",Олигофренопедагогика,"Учитель и логопед школ для детей с нарушением интеллекта",35,1
NULL,"Барнаульский государственный педагогический университет","Педагогика и методика начального образования","Учитель начальных классов средней школы",36,1
NULL,"Государственный педагогический институт г. Сыктывкар Коми университет","Педагогика и методика начального образования","Учитель начальных классов",37,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Кузбасская государственная педагогическая академия"","Педагогика и методика начального образования","Учитель начальных классов",38,1
NULL,"Кустанайский государственный университет","Педагогика и методика начального образования","Учитель начальных классов",39,1
NULL,"Государственное автономное профессиональное образовательное учреждение Мурманской области "Мурманский педагогический колледж"","Преподавание в начальных классах","Учитель начальных классов",40,5
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Северный (Арктический) федеральный университет имени М.В. Ломоносова"","Педагогическое образование (с двумя профилями подготовки)",Бакалавр,41,3
NULL,"Государственное образовательное учреждение высшего профессионального образования "Уральский государственный педагогический университет"",Педагогика,Магистр,42,2
NULL,"Федеральное Государственное бюджетное образовательное учреждение высшего образования "Новосибирский государственный педагогический университет"","Психолого-педагогическое об",Бакалавр,43,3
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Южный федеральный университет" город Ростов-на Дону","Специальная дошкольная педагогика и психология","Педагог-дефектолог для работы с детьми дошкольного возраста с отклонениями в развитии",44,1
NULL,"ГБПОУ педагогический колледж № 1 им. Н.А. Некрасова Санкт-Петербурга","Коррекционная педагогика в начальном образовании","Учитель начальных классов и начальных классов компенсирующего и коррекционно-развивающего образования",45,5
NULL,"ГОУ ВПО "Омский государственный педагогический университет"","Педагогика и психология",Педагог-психолог,46,1
NULL,"Южно-Сахалинский государственный педагогический институт","Педагогика и методика начального обучения","Учитель начальных классов",47,1
NULL,"Образование: магистр — ФГБОУВО ” Смоленский государственный университет”","Психолого-педагогическое образование",Магистр,48,2
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Новгородский государственный университет имени Ярослава Мудрого""," Педагогическое образование (с двумя профилями подготовки)",Бакалавр,49,3
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Волгоградский государственный университет"","Прикладная информатика",Магистр,50,2
NULL,"ФГБОУ ВО " Псковский государственный университет"","Педагогическое образование",Магистр,51,2
NULL,"Курганский государственный педагогический институт","Математика и физика","Учитель математики и физики ср",52,1
NULL,"Башкирский государственный педагогический институт","Математика, информатика и вычислительная техника","Учитель математики, информатики и вычислительной техники",53,1
NULL,"ФГБОУВПО "Саратовский Государственный университет имени Н.Г. Чернышевского"","Математика, Прикладная математика",Математик,54,2
NULL,"Новосибирский государственный педагогический университет","Математика и экономика","Учитель математики и экономики",55,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Нижегородский государственный педагогический университет имени Козьмы Минина"","Педагогическое образование (с двумя профилями подготовки)",Бакалавр,56,3
NULL,"ФГБОУ ВПО "Санкт-Петербургский государственный морской технический университет"",Математика,Математик,57,1
NULL,"ГОУВПО "Кубанский государственный университет"",Филология,Филолог-преподаватель,58,1
NULL,"ФГБОУВПО "Оренбургский государственный педагогический университет"","Русский язык и литература","Учитель русского языка и литературы",59,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Брянский государственный университет имени академика И.Г. Петровского"","Русский язык и литература","Учитель русского языка и литературы",60,1
NULL,"Псковский ордена Знак Почета госпединститут им. С.М. Кирова","Русский язык и литература","Учитель русского языка и литературы",61,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Дальневосточный государственный гуманитарный университет"",Филология,Филолог-преподаватель,62,1
NULL,"Государственное автономное образовательное учреждение высшего образования Ленинградской области "Ленинградский государственный университет имени А.С. Пушкина"","Педагогическое образование (с двумя профилями подготовки)",Бакалавр,63,3
NULL,"Государственное образовательное учреждение высшего профессионального образования "Ленинградский государственный университет им. А.С.Пушкина"",Филология,"Учитель русского языка и литературы",64,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Нижегородский государственный университет им. Н.И. Лобачевского",Филология,Филолог-преподаватель,65,1
NULL,"ФГБОУВО "Российский государственный педагогический университет им. А.И. Герцена"","Педагогическое образование",Бакалавр,66,1
NULL,"Волгоградское высшее педагогическое училище (колледж) №2","Преподавание в начальных классах. Русский язык и литература","Учитель начальных классов. Учитель русского языка и литературы основной общеобразовательной школы",5,5
NULL,"Федеральное государственное бюджетное образовательное учреждение 
высшего образования "Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского"",Лингвистика,Бакалавр,67,3
NULL,"ФГБОУ ВО "Кемеровский государственный университет"",Лингвистика,Бакалавр,68,3
NULL,"Государственное образовательное учреждение высшего профессионального образования "Омский государственный педагогический университет"","Иностранный язык с дополнительной специальностью","Учитель английского и французского языков",69,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Новгородский государственный университет имени Ярослава Мудрого"","Педагогическое образование",Магистр,70,2
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Псковский государственный университет"",Лингвистика,Бакалавр,71,3
NULL,"Частное образовательное учреждение высшего образования "Санкт-Петербургский университет технологий управления и экономики"",Лингвистика,Бакалавр,72,3
NULL,"Башкирский государственный педагогический университет",Филология,"Учитель английского языка",73,1
NULL,"ФГБОУ ВО "Сыктывкарский государственный университет имени Питирима Сорокина"","Педагогическое образование",Бакалавр,74,3
NULL,"Государственный Западно-Казахстанский гуманитарный университет им. А.С.Пушкина","Русский, английский языки и мировая литература","Учитель русского, английского языков и мировой литературы",75,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Башкирский государственный педагогический университет им. М. Акмуллы"","Теория и методика преподавания иностранных языков и куль","Лингвист, преподаватель немецкого языка",76,1
NULL,"Тверской государственный университет","Лингвистика и межкультурная комм","Лингвист, Преподаватель",77,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования Южно-Российский государственный технический университет (Новочеркасский политехнический институт)",Электроснабжение,Инженер,78,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Барнаульский государственный педагогический университет"",""Физика" с дополнительной специальностью "Информатика"","Учитель физики и информатики",79,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования Российский Государственный педагогический университет им. А.И.Герцена","Педагогическое образование",Бакалавр,80,3
NULL,"Кабардино-Балкарский государственный университет",Биология,"Биолог. Преподаватель",81,1
NULL,"Саратовский государственный университет им. Н.Г.Чернышевского",География,"Географ. Преподаватель географии и экономики по специальности",82,1
NULL,"Волгоградский государственный педагогический университет",География,"Учитель географии и биологии",83,1
NULL,"Кыргызский государственный национальный университет",Биология,Магистр,84,2
NULL,"Федеральное государственное автономное образовательное учреждение высшего профессионального образования "Белгородский государственный национальный исследовательский университет"",Биология,Магистр,85,2
NULL,"Красноярский государственный педагогический университет",История,"Учитель истории, Методист краеведческой работы",86,1
NULL,"Санкт-Петербургский Гуманитарный университет профсоюзов",Юриспруденция,Юрист,87,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Башкирский государственный университет"","Педагогическое образование",Бакалавр,88,3
NULL,"Образование: бакалавр — Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"",Философия,Бакалавр,89,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Калужский государственный университет им. К.Э. Циолковского"",История,"Учитель истории",90,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Воронежский государственный педагогический университет"","Педагогическое образование",Магистр,91,2
NULL,"Санкт-Петербургское государственная академия культуры","Народное художественное творчество","Руководитель народного хора",92,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Тульский государственный университет"","Изобразительное искусство","Учитель изобразительного искусства",93,1
NULL,"Иркутский ордена Трудового Красного Знамени политехнический институт","Физико-химические исследования металлургических процессов",Инженер-металлург,94,1
NULL,"Ленинградское высшее военно-политическое училище ПВО имени Ю.В. Андропова","Военно-политическая тактическая противовоздушной обороны","Социальный педагог-психолог",95,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Алтайская государственная педагогическая академия"",Культурология,"Учитель культурологии",96,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Российский государственный педагогический университет им. А.И.Герцена"","Художественное образование",Магистр,97,2
NULL,"Уссурийский государственный педагогический институт","Русский язык и литература",Учитель,98,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им А.И. Герцена"","Педагогическое образование",Бакалавр,99,3
NULL,"Республиканское высшее учебное заведение "Крымский гуманитарный университет"","Физическая культура",Магистр,100,2
NULL,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение "Училище олимпийского резерва №2 (техникум)"","Педагог по физической культуре и спорту","Физическая культура",101,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту",102,1
NULL,"ГАОУ ВО Ленинградской области "Ленинградский государственный университет им. А.С. Пушкина"","Психолого-педагогическое образование",Бакалавр,103,3
NULL,"Федеральное государственное образовательное учреждение среднего профессионального образования "Волховский алюминиевый колледж"","Техническое обслуживание и ремонт автомобильного транспорта",Техник,104,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург"","Физическая культура",Бакалавр,105,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура","Бакалавр физической культуры",106,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура",Магистр,107,2
NULL,"ГОУ ВПО "Костромской государственный университет им. Н.А. Некрасова"","Экономика труда",Экономист,108,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена","Психолого-педагогическое образование",Бакалавр,109,1
NULL,"Государственное бюджетное профессиональное образовательное учреждение "Ленинградский областной колледж культуры и искусства"","Социально-культурная деятельность и народное художественное творчество","Руководитель творческого коллектива, преподаватель",8,5
NULL,"Луганский государственный университет им. Т.Г. Шевченко","Русский язык и литература и психология","Учитель русского языка и зарубежной литературы, практического психолога в заведениях просвещения",110,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственная полярная академия"",Природопользование,Эколог-природопользователь,111,1
NULL,"Бюджетное профессиональное образовательное учреждение Вологодской области "Вологодский областной колледж искусств"","Инструментальное исполнительство (по видам инструментов)","Артист, преподаватель, концертмейстер",112,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту. Преподаватель",113,1
NULL,"Федеральное государственное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура",Магистр,114,2
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имеи П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту",115,1
NULL,"Аспирантура Федеральное государственное образовательное учреждение высшего профессионального образования "Санкт-Петербургский государственный университет"","Экономическая, социальная, политическая и рекреационная география",Аспирант,116,4
NULL,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение "Училище олимпийского резерва № 1"","Физическая культура","Педагог по физической культуре и спорту",117,5
NULL,"ФГОУ ВПО "Санкт-Петербургская государственная академия физической культуры им. П.Ф. Лесгафта", Федеральный институт повышения квалификации и переподготовки","Адаптивная физическая культура, Психолого-педагогическое образование",Специалист,118,1
NULL,"ГАОУ ВО ЛО «Ленинградский государственный университет имени А.С. Пушкина»","Психолого-педагогическое образование",Бакалавр,119,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"","Психолого-педагогическое образование",Бакалавр,120,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"","Социальная работа",Магистр,121,2
NULL,"Комсомольский-на-Амуре государственный педагогический институт",NULL,"Учитель биологии, педагог-психолог",122,1
NULL,"ФГБОУ ВО Новгородский государственный университет им. Я. Мудрого",Психология,Бакалавр,123,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования “Российский государственный педагогический университет им. А.И. Герцена”","Специальность: Психолого-педагогическое образование",Бакалавр,124,3
NULL,"Балтийский институт экологии, политики и права",Юриспруденция,Юрист,125,1
NULL,NULL,"Преподавание в начальных классах","Квалификация: Учитель начальных классов с углубленным изучением психологии",125,5
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского"","Психолого-педагогическое образование",Бакалавр,126,3
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Северный (Арктический) федеральный университет имени М.В. Ломоносова"","Дошкольная педагогика и психология","Преподаватель дошкольной педагогики и психологии",127,1
NULL,"Государственное образовательное учреждение высшего профессионального образования Ставропольский государственный педагогический институт","Профессиональное обучение (дизайн)","Педагог профессионального обучения",128,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Липецкий государственный педагогический университет имени П.П. Семенова -Тян-Шанского"","Изобразительное искусство","Учитель изобразительного искусства",129,1
NULL,"ФГБОУВО "Российский государственный педагогический университет им. А.И. Герцена"","Педагогическое образование",Бакалавр,130,3
NULL,"Государственное учреждение Волгоградское педагогическое училище № 1","Дошкольное образование","Воспитатель детей дошкольного возраста",131,5
